text,interpretation,label,keyword,type
the absolute majority was significant,the absolute majority was significant,0,absolute,ecf
the exam result was absolute,the exam result was absolute,0,absolute,ecf
a complete list is available,a complete list is available,0,complete,ecf
the large home was complete,the large home was complete,0,complete,ecf
the entire sum was large,the entire sum was large,0,entire,ecf
the entire statement was literal,the entire statement was literal,0,entire,ecf
the fresh water was pure,the fresh water was pure,0,pure,ecf
the desirable breed was pure,the desirable breed was pure,0,pure,ecf
the pure substance was valuable,the pure substance was valuable,0,pure,ecf
the whole bucket was full,the whole bucket was full,0,whole,ecf
the whole meal was enjoyable,the whole meal was enjoyable,0,whole,ecf
a dry ocean is impossible,a dry ocean is impossible,0,impossible,ecf
the impossible reality is dreamful,the impossible reality is dreamful,0,impossible,ecf
a mathematical constant is invariable,a mathematical constant is invariable,0,invariable,ecf
the code was never cracked,the code was never cracked,0,never,ecf
the sky is never falling,the sky is never falling,0,never,ecf
the pig will never fly,the pig will never fly,0,never,ecf
the dead will never return,the dead will never return,0,never,ecf
no action should be required,no action should be required,0,no,ecf
no harm should be experienced,no harm should be experienced,0,no,ecf
no further comments in discussion,no further comments in discussion,0,no,ecf
the point of no return,the point of no return,0,no,ecf
the case has no merit,the case has no merit,0,no,ecf
the principle of no guarantees,the principle of no guarantees,0,no,ecf
the golden age is no more,the golden age is no more,0,no,ecf
a life sentence with no parole,a life sentence with no parole,0,no,ecf
the right to pay no tax,the right to pay no tax,0,no,ecf
the decision to press no further,the decision to press no further,0,no,ecf
the post originally had no subject,the post originally had no subject,0,no,ecf
the right to have no faith,the right to have no faith,0,no,ecf
the blind can see no one,the blind can see no one,0,no,ecf
no one in the group felt angry,no one in the group felt angry,0,no,ecf
the truth lies to nobody,the truth lies to nobody,0,nobody,ecf
nobody on the street is home,nobody on the street is home,0,nobody,ecf
nobody in the group looked interested,nobody in the group looked interested,0,nobody,ecf
the machined edge was flawless,the machined edge was flawless,0,flawless,ecf
the flawless product was expensive,the flawless product was expensive,0,flawless,ecf
the blue line was perfect,the blue line was perfect,0,perfect,ecf
the perfect score was fraudulent,the perfect score was fraudulent,0,perfect,ecf
the endless combinations are daunting,the endless combinations are daunting,0,endless,ecf
an eternal youth is fanciful,an eternal youth is fanciful,0,eternal,ecf
the eternal flame was impressive,the eternal flame was impressive,0,eternal,ecf
an infinite concept is perplexing,an infinite concept is perplexing,0,infinite,ecf
the vast universe is infinite,the vast universe is infinite,0,infinite,ecf
all comments could be removed,all comments could be removed,0,all,ecf
all rights reserved in copyright,all rights reserved in copyright,0,all,ecf
the sum of all parts,the sum of all parts,0,all,ecf
the rights of all parties,the rights of all parties,0,all,ecf
the richest nation of all time,the richest nation of all time,0,all,ecf
the greater good of all concerned,the greater good of all concerned,0,all,ecf
the world is always turning,the world is always turning,0,always,ecf
the future is always uncertain,the future is always uncertain,0,always,ecf
